      #Energy        TDOS
     -11.30430       0.00000
     -11.21630       0.00000
     -11.12830       0.00000
     -11.04030       0.00000
     -10.95330       0.00000
     -10.86530       0.00000
     -10.77730       0.00000
     -10.68930       0.00000
     -10.60130       0.00000
     -10.51330       0.00000
     -10.42530       0.00000
     -10.33730       0.00000
     -10.24930       0.00000
     -10.16130       0.00000
     -10.07330       0.00000
      -9.98530       0.00000
      -9.89730       0.00000
      -9.80930       0.00001
      -9.72130       0.00011
      -9.63330       0.00077
      -9.54630       0.00391
      -9.45830       0.01462
      -9.37030       0.04115
      -9.28230       0.08993
      -9.19430       0.15822
      -9.10630       0.23403
      -9.01830       0.30497
      -8.93030       0.36567
      -8.84230       0.41693
      -8.75430       0.46147
      -8.66630       0.50145
      -8.57830       0.53820
      -8.49030       0.57249
      -8.40230       0.60476
      -8.31430       0.63528
      -8.22730       0.66443
      -8.13930       0.69239
      -8.05130       0.71918
      -7.96330       0.74520
      -7.87530       0.77047
      -7.78730       0.79458
      -7.69930       0.81803
      -7.61130       0.84137
      -7.52330       0.86374
      -7.43530       0.88481
      -7.34730       0.90600
      -7.25930       0.92753
      -7.17130       0.94757
      -7.08330       0.96597
      -6.99530       0.98509
      -6.90730       1.00551
      -6.82030       1.02469
      -6.73230       1.04155
      -6.64430       1.05870
      -6.55630       1.07802
      -6.46830       1.09721
      -6.38030       1.11327
      -6.29230       1.12742
      -6.20430       1.14359
      -6.11630       1.16258
      -6.02830       1.18069
      -5.94030       1.19486
      -5.85230       1.20706
      -5.76430       1.22182
      -5.67630       1.24024
      -5.58830       1.25844
      -5.50130       1.27245
      -5.41330       1.28324
      -5.32530       1.29559
      -5.23730       1.31241
      -5.14930       1.33119
      -5.06130       1.34683
      -4.97330       1.35756
      -4.88530       1.36684
      -4.79730       1.37967
      -4.70930       1.39726
      -4.62130       1.41559
      -4.53330       1.42962
      -4.44530       1.43855
      -4.35730       1.44642
      -4.26930       1.45822
      -4.18230       1.47529
      -4.09430       1.49377
      -4.00630       1.50825
      -3.91830       1.51707
      -3.83030       1.52351
      -3.74230       1.53274
      -3.65430       1.54769
      -3.56630       1.56627
      -3.47830       1.58288
      -3.39030       1.59370
      -3.30230       1.59982
      -3.21430       1.60576
      -3.12630       1.61617
      -3.03830       1.63246
      -2.95030       1.65108
      -2.86230       1.66630
      -2.77530       1.67536
      -2.68730       1.68017
      -2.59930       1.68519
      -2.51130       1.69477
      -2.42330       1.71047
      -2.33530       1.72912
      -2.24730       1.74491
      -2.15930       1.75453
      -2.07130       1.75921
      -1.98330       1.76284
      -1.89530       1.76975
      -1.80730       1.78277
      -1.71930       1.80075
      -1.63130       1.81849
      -1.54330       1.83096
      -1.45630       1.83735
      -1.36830       1.84043
      -1.28030       1.84417
      -1.19230       1.85236
      -1.10430       1.86688
      -1.01630       1.88537
      -0.92830       1.90215
      -0.84030       1.91301
      -0.75230       1.91812
      -0.66430       1.92050
      -0.57630       1.92374
      -0.48830       1.93133
      -0.40030       1.94528
      -0.31230       1.96362
      -0.22430       1.98080
      -0.13630       1.99226
      -0.04930       1.99774
       0.03870       1.99990
       0.12670       2.00190
       0.21470       2.00685
       0.30270       2.01758
       0.39070       2.03428
       0.47870       2.05279
       0.56670       2.06741
       0.65470       2.07562
       0.74270       2.07897
       0.83070       2.08042
       0.91870       2.08276
       1.00670       2.08894
       1.09470       2.10133
       1.18270       2.11903
       1.26970       2.13704
       1.35770       2.15008
       1.44570       2.15680
       1.53370       2.15932
       1.62170       2.16039
       1.70970       2.16239
       1.79770       2.16799
       1.88570       2.17966
       1.97370       2.19697
       2.06170       2.21525
       2.14970       2.22898
       2.23770       2.23632
       2.32570       2.23913
       2.41370       2.24009
       2.50170       2.24134
       2.58870       2.24512
       2.67670       2.25418
       2.76470       2.26957
       2.85270       2.28820
       2.94070       2.30424
       3.02870       2.31407
       3.11670       2.31835
       3.20470       2.31972
       3.29270       2.32038
       3.38070       2.32212
       3.46870       2.32764
       3.55670       2.34109
       3.64470       2.36722
       3.73270       2.41090
       3.82070       2.47814
       3.90870       2.57665
       3.99570       2.71379
       4.08370       2.89023
       4.17170       3.09266
       4.25970       3.29732
       4.34770       3.48590
       4.43570       3.65482
       4.52370       3.80845
       4.61170       3.94892
       4.69970       4.07498
       4.78770       4.18666
       4.87570       4.28747
       4.96370       4.38249
       5.05170       4.47812
       5.13970       4.58434
       5.22770       4.71106
       5.31470       4.86046
       5.40270       5.02476
       5.49070       5.18898
       5.57870       5.33860
       5.66670       5.46950
       5.75470       5.58689
       5.84270       5.69501
       5.93070       5.79508
       6.01870       5.89075
       6.10670       5.98638
       6.19470       6.08245
       6.28270       6.17913
       6.37070       6.27907
       6.45870       6.38125
       6.54670       6.47842
       6.63470       6.56487
       6.72170       6.64291
       6.80970       6.71916
       6.89770       6.79608
       6.98570       6.87020
       7.07370       6.94032
       7.16170       7.01308
       7.24970       7.09516
       7.33770       7.18310
       7.42570       7.26713
       7.51370       7.34326
       7.60170       7.41533
       7.68970       7.48594
       7.77770       7.55227
       7.86570       7.61255
       7.95370       7.67071
       8.04070       7.73196
       8.12870       7.79820
       8.21670       7.86879
       8.30470       7.94242
       8.39270       8.01680
       8.48070       8.08786
       8.56870       8.15227
       8.65670       8.20965
       8.74470       8.25980
       8.83270       8.30135
       8.92070       8.33585
       9.00870       8.36890
       9.09670       8.40609
       9.18470       8.44900
       9.27270       8.49353
       9.35970       8.53290
       9.44770       8.56496
       9.53570       8.59437
       9.62370       8.62739
       9.71170       8.66704
       9.79970       8.71118
       9.88770       8.75291
       9.97570       8.78640
      10.06370       8.81328
      10.15170       8.84045
      10.23970       8.87351
      10.32770       8.91388
      10.41570       8.95789
      10.50370       8.99778
      10.59170       9.02811
      10.67970       9.05167
      10.76670       9.07611
      10.85470       9.10711
      10.94270       9.14604
      11.03070       9.18975
      11.11870       9.23055
      11.20670       9.26148
      11.29470       9.28341
      11.38270       9.30395
      11.47070       9.33013
      11.55870       9.36473
      11.64670       9.40656
      11.73470       9.44986
      11.82270       9.48597
      11.91070       9.51063
      11.99870       9.52833
      12.08570       9.54767
      12.17370       9.57439
      12.26170       9.60997
      12.34970       9.65237
      12.43770       9.69511
      12.52570       9.72939
      12.61370       9.75157
      12.70170       9.76676
      12.78970       9.78369
      12.87770       9.80820
      12.96570       9.84185
      13.05370       9.88312
      13.14170       9.92644
      13.22970       9.96267
      13.31770       9.98546
      13.40570       9.99588
      13.49270       9.99928
      13.58070      10.00006
      13.66870      10.00018
      13.75670      10.00020
      13.84470      10.00020
      13.93270      10.00020
      14.02070      10.00020
      14.10870      10.00020
      14.19670      10.00020
      14.28470      10.00020
      14.37270      10.00020
      14.46070      10.00020
      14.54870      10.00020
      14.63670      10.00020
      14.72470      10.00020
      14.81170      10.00020
      14.89970      10.00020
      14.98770      10.00020
      15.07570      10.00020
