# E-fermi :  -3.9477     XC(G=0):  -1.0031     alpha+bet : -0.2761
    N    k-point     energy(eV)   occupation
    1 0.0100     -13.2522      2.00000
    2 0.0100     -0.1352      0.00000
    3 0.0100       0.1031      0.00000
    4 0.0100       0.1031      0.00000
    5 0.0100       1.2814      0.0000

    1 0.0300     -13.2196      2.00000
    2 0.0300     -0.1050      0.00000
    3 0.0300       0.1332      0.00000
    4 0.0300       0.1332      0.00000
    5 0.0300       1.3115      0.00000

    
    1 0.0500     -13.1601      2.00000
    2 0.0500      -0.0449      0.00000
    3 0.0500       0.1934      0.00000
    4 0.0500       0.1934      0.00000
    5 0.0500       1.3716      0.00000

    1  0.0700     -13.0716      2.00000
    2  0.0700       0.0453      0.00000
    3  0.0700       0.2836      0.00000
    4  0.0700        0.2836      0.00000
    5  0.0700        1.4619      0.00000
      
    1  0.0900     -12.9524      2.00000
    2  0.0900       0.1656      0.00000
    3  0.0900       0.4039      0.00000
    4  0.0900       0.4039      0.00000
    5  0.0900       1.5822      0.00000

    1  0.1100     -12.8038      2.00000
    2  0.1100       0.3160      0.00000
    3  0.1100       0.5544      0.00000
    4  0.1100       0.5544      0.00000
    5  0.1100       1.7326      0.00
    
    1  0.1300     -12.6232      2.00000
    2  0.1300       0.4965      0.00000
    3  0.1300       0.7349      0.00000
    4  0.1300       0.7349      0.00000
    5  0.1300       1.9131      0.00

    1  0.1500     -12.4145      2.00000
    2  0.1500       0.7070      0.00000
    3  0.1500       0.9454      0.00000
    4  0.1500       0.9454      0.00000
    5  0.1500       2.1237      0
    
    1  0.1700     -12.1746      2.00000
    2  0.1700       0.9476      0.00000
    3  0.1700       1.1861      0.00000
    4  0.1700       1.1861      0.00000
    5  0.1700       2.3643      0.00000

    1  0.1900     -11.9072      2.00000
    2  0.1900       1.2182      0.00000
    3  0.1900       1.4569      0.00000
    4  0.1900       1.4569      0.00000
    5  0.1900       2.6351      0

    1  0.2100     -11.6109      2.00000
    2  0.2100       1.5189      0.00000
    3  0.2100       1.7577      0.00000
    4  0.2100       1.7577      0.00000
    5  0.2100       2.9359      0
    
    1  0.2300     -11.2842      2.00000
    2  0.2300       1.8497      0.00000
    3  0.2300       2.0886      0.00000
    4  0.2300       2.0886      0.00000
    5  0.2300       3.2668      0.00000

    1  0.2500     -10.9241      2.00000
    2  0.2500       2.2106      0.00000
    3  0.2500       2.4496      0.00000
    4  0.2500       2.4496      0.00000
    5  0.2500       3.6278      0.00000

    1  0.2700     -10.5398      2.00000
    2  0.2700       2.6015      0.00000
    3  0.2700       2.8407      0.00000
    4  0.2700       2.8407      0.00000
    5  0.2700       4.0189      0

    1  0.2900     -10.1201      2.00000
    2  0.2900       3.0226      0.00000
    3  0.2900       3.2618      0.00000
    4  0.2900       3.2618      0.00000
    5  0.2900       4.4401      0

    1  0.3100      -9.6696      2.00000
    2  0.3100       3.4738      0.00000
    3  0.3100       3.7131      0.00000
    4  0.3100       3.7131      0.00000
    5  0.3100       4.3600      0

    1  0.3300      -9.1935      2.00000
    2  0.3300       3.3701      0.00000
    3  0.3300       3.9549      0.00000
    4  0.3300       4.1945      0.00000
    5  0.3300       4.1945      0

    1  0.3500      -8.6884      2.00000
    2  0.3500       2.4063      0.00000
    3  0.3500       4.4661      0.00000
    4  0.3500       4.7059      0.00000
    5  0.3500       4.7059      0

    1  0.3700      -8.1516      2.00000
    2  0.3700       1.4693      0.00000
    3  0.3700       5.0074      0.00000
    4  0.3700       5.2474      0.00000
    5  0.3700       5.2474      0

    1  0.3900      -7.5873      2.00000
    2  0.3900       0.5600      0.00000
    3  0.3900       5.5787      0.00000
    4  0.3900       5.8189      0.00000
    5  0.3900       5.8189      0
    
    1  0.4100      -6.9950      2.00000
    2  0.4100      -0.3229      0.00000
    3  0.4100       6.1801      0.00000
    4  0.4100       6.4206      0.00000
    5  0.4100       6.4206      0

    1  0.430      -6.3698      2.00000
    2  0.430      -1.1773      0.00000
    3  0.430       6.8116      0.00000
    4  0.430       7.0523      0.00000
    5  0.430       7.0523      0.00000

    1  0.4500      -5.7148      2.00000
    2  0.4500      -2.0040      0.00000
    3  0.4500       7.4731      0.00000
    4  0.4500       7.7142      0.00000
    5  0.4500       7.7142      0.00000

    1  0.4700      -5.0330      2.00000
    2  0.4700      -2.8050      0.00000
    3  0.4700       8.1647      0.00000
    4  0.4700       8.4061      0.00000
    5  0.4700       8.4061      0.00000

    1  0.4900      -4.3213      1.99175
    2  0.4900      -3.5741      0.00825
    3  0.4900       8.8863      0.00000
    4  0.4900       9.1281      0.00000
    5  0.4900       9.1283      0.00000
