      #Energy        TDOS
      -9.23854       0.00000
      -9.15054       0.00000
      -9.06354       0.00000
      -8.97654       0.00000
      -8.88954       0.00000
      -8.80254       0.00000
      -8.71554       0.00000
      -8.62854       0.00000
      -8.54054       0.00000
      -8.45354       0.00000
      -8.36654       0.00000
      -8.27954       0.00000
      -8.19254       0.00000
      -8.10554       0.00000
      -8.01754       0.00000
      -7.93054       0.00000
      -7.84354       0.00000
      -7.75654       0.00001
      -7.66954       0.00008
      -7.58254       0.00060
      -7.49554       0.00315
      -7.40754       0.01225
      -7.32054       0.03600
      -7.23354       0.08189
      -7.14654       0.14933
      -7.05954       0.22741
      -6.97254       0.30271
      -6.88554       0.36799
      -6.79754       0.42313
      -6.71054       0.47086
      -6.62354       0.51360
      -6.53654       0.55280
      -6.44954       0.58927
      -6.36254       0.62352
      -6.27454       0.65594
      -6.18754       0.68681
      -6.10054       0.71630
      -6.01354       0.74472
      -5.92654       0.77217
      -5.83954       0.79861
      -5.75254       0.82437
      -5.66454       0.84950
      -5.57754       0.87359
      -5.49054       0.89705
      -5.40354       0.92049
      -5.31654       0.94324
      -5.22954       0.96493
      -5.14154       0.98670
      -5.05454       1.00866
      -4.96754       1.02939
      -4.88054       1.04899
      -4.79354       1.06931
      -4.70654       1.09024
      -4.61954       1.10975
      -4.53154       1.12790
      -4.44454       1.14700
      -4.35754       1.16725
      -4.27054       1.18602
      -4.18354       1.20256
      -4.09654       1.21960
      -4.00954       1.23888
      -3.92154       1.25818
      -3.83454       1.27490
      -3.74754       1.29046
      -3.66054       1.30808
      -3.57354       1.32756
      -3.48654       1.34548
      -3.39854       1.36059
      -3.31154       1.37585
      -3.22454       1.39397
      -3.13754       1.41319
      -3.05054       1.42992
      -2.96354       1.44417
      -2.87654       1.45961
      -2.78854       1.47813
      -2.70154       1.49706
      -2.61454       1.51314
      -2.52754       1.52740
      -2.44054       1.54361
      -2.35354       1.56266
      -2.26554       1.58131
      -2.17854       1.59718
      -2.09154       1.61236
      -2.00454       1.63010
      -1.91754       1.64987
      -1.83054       1.66855
      -1.74354       1.68561
      -1.65554       1.70379
      -1.56854       1.72442
      -1.48154       1.74585
      -1.39454       1.76710
      -1.30754       1.78983
      -1.22054       1.81571
      -1.13354       1.84521
      -1.04554       1.87868
      -0.95854       1.91498
      -0.87154       1.94924
      -0.78454       1.97528
      -0.69754       1.99052
      -0.61054       1.99722
      -0.52254       1.99938
      -0.43554       1.99989
      -0.34854       1.99997
      -0.26154       1.99998
      -0.17454       1.99999
      -0.08754       1.99999
      -0.00054       1.99999
       0.08746       1.99999
       0.17446       1.99999
       0.26146       1.99999
       0.34846       1.99999
       0.43546       1.99999
       0.52246       1.99999
       0.61046       1.99999
       0.69746       1.99999
       0.78446       1.99999
       0.87146       1.99999
       0.95846       1.99999
       1.04546       1.99999
       1.13246       1.99999
       1.22046       1.99999
       1.30746       1.99999
       1.39446       1.99999
       1.48146       1.99999
       1.56846       1.99999
       1.65546       1.99999
       1.74246       1.99999
       1.83046       1.99999
       1.91746       1.99999
       2.00446       1.99999
       2.09146       1.99999
       2.17846       1.99999
       2.26546       1.99999
       2.35346       1.99999
       2.44046       1.99999
       2.52746       1.99999
       2.61446       1.99999
       2.70146       1.99999
       2.78846       1.99999
       2.87546       1.99999
       2.96346       1.99999
       3.05046       1.99999
       3.13746       1.99999
       3.22446       1.99999
       3.31146       1.99999
       3.39846       1.99999
       3.48646       1.99999
       3.57346       1.99999
       3.66046       1.99999
       3.74746       1.99999
       3.83446       1.99999
       3.92146       1.99999
       4.00846       1.99999
       4.09646       1.99999
       4.18346       1.99999
       4.27046       1.99999
       4.35746       1.99999
       4.44446       1.99999
       4.53146       1.99999
       4.61846       1.99999
       4.70646       1.99999
       4.79346       1.99999
       4.88046       1.99999
       4.96746       2.00000
       5.05446       2.00008
       5.14146       2.00058
       5.22946       2.00264
       5.31646       2.00887
       5.40346       2.02294
       5.49046       2.04821
       5.57746       2.08736
       5.66446       2.14358
       5.75146       2.21970
       5.83946       2.31654
       5.92646       2.43628
       6.01346       2.58601
       6.10046       2.76977
       6.18746       2.97654
       6.27446       3.18370
       6.36246       3.37421
       6.44946       3.54481
       6.53646       3.69855
       6.62346       3.83655
       6.71046       3.95887
       6.79746       4.06868
       6.88446       4.17296
       6.97246       4.28124
       7.05946       4.40391
       7.14646       4.54657
       7.23346       4.70436
       7.32046       4.86529
       7.40746       5.01854
       7.49446       5.15882
       7.58246       5.28850
       7.66946       5.41548
       7.75646       5.54250
       7.84346       5.66286
       7.93046       5.77210
       8.01746       5.87424
       8.10546       5.97190
       8.19246       6.06314
       8.27946       6.15173
       8.36646       6.24738
       8.45346       6.35122
       8.54046       6.45136
       8.62746       6.53890
       8.71546       6.61986
       8.80246       6.70327
       8.88946       6.78653
       8.97646       6.86383
       9.06346       6.94152
       9.15046       7.03064
       9.23846       7.12812
       9.32546       7.21913
       9.41246       7.29689
       9.49946       7.36831
       9.58646       7.44011
       9.67346       7.50921
       9.76046       7.56864
       9.84846       7.61671
       9.93546       7.65888
      10.02246       7.70349
      10.10946       7.75695
      10.19646       7.82051
      10.28346       7.89060
      10.37146       7.96232
      10.45846       8.03337
      10.54546       8.10506
      10.63246       8.17771
      10.71946       8.24588
      10.80646       8.30260
      10.89346       8.34742
      10.98146       8.38670
      11.06846       8.42753
      11.15546       8.47194
      11.24246       8.51586
      11.32946       8.55436
      11.41646       8.58738
      11.50346       8.61896
      11.59146       8.65369
      11.67846       8.69391
      11.76546       8.73685
      11.85246       8.77634
      11.93946       8.80951
      12.02646       8.83895
      12.11446       8.86907
      12.20146       8.90365
      12.28846       8.94382
      12.37546       8.98534
      12.46246       9.02178
      12.54946       9.05165
      12.63646       9.07873
      12.72446       9.10723
      12.81146       9.14039
      12.89846       9.17940
      12.98546       9.22030
      13.07246       9.25608
      13.15946       9.28448
      13.24746       9.30945
      13.33446       9.33561
      13.42146       9.36579
      13.50846       9.40198
      13.59546       9.44246
      13.68246       9.48035
      13.76946       9.51012
      13.85746       9.53372
      13.94446       9.55687
      14.03146       9.58317
      14.11846       9.61454
      14.20546       9.65209
      14.29246       9.69243
      14.37946       9.72784
      14.46746       9.75419
      14.55446       9.77532
      14.64146       9.79758
      14.72846       9.82430
      14.81546       9.85686
      14.90246       9.89547
      14.99046       9.93554
      15.07746       9.96822
      15.16446       9.98797
      15.25146       9.99659
      15.33846       9.99927
      15.42546       9.99985
      15.51246       9.99995
      15.60046       9.99995
      15.68746       9.99996
      15.77446       9.99996
      15.86146       9.99996
      15.94846       9.99996
      16.03546       9.99996
      16.12346       9.99996
      16.21046       9.99996
      16.29746       9.99996
      16.38446       9.99996
      16.47146       9.99996
      16.55846       9.99996
      16.64546       9.99996
      16.73346       9.99996
      16.82046       9.99996
      16.90746       9.99996
