      #Energy        TDOS
      -9.23854       0.00000
      -9.15054       0.00000
      -9.06354       0.00000
      -8.97654       0.00000
      -8.88954       0.00000
      -8.80254       0.00000
      -8.71554       0.00000
      -8.62854       0.00000
      -8.54054       0.00000
      -8.45354       0.00000
      -8.36654       0.00000
      -8.27954       0.00000
      -8.19254       0.00000
      -8.10554       0.00000
      -8.01754       0.00000
      -7.93054       0.00000
      -7.84354       0.00001
      -7.75654       0.00016
      -7.66954       0.00153
      -7.58254       0.01026
      -7.49554       0.04825
      -7.40754       0.16080
      -7.32054       0.38400
      -7.23354       0.66930
      -7.14654       0.87830
      -7.05954       0.91360
      -6.97254       0.81440
      -6.88554       0.68370
      -6.79754       0.58160
      -6.71054       0.51370
      -6.62354       0.46720
      -6.53654       0.43240
      -6.44954       0.40450
      -6.36254       0.38140
      -6.27454       0.36270
      -6.18754       0.34560
      -6.10054       0.33110
      -6.01354       0.32110
      -5.92654       0.30890
      -5.83954       0.29780
      -5.75254       0.29340
      -5.66454       0.28340
      -5.57754       0.26940
      -5.49054       0.26900
      -5.40354       0.26890
      -5.31654       0.25300
      -5.22954       0.24490
      -5.14154       0.25460
      -5.05454       0.24950
      -4.96754       0.22610
      -4.88054       0.22380
      -4.79354       0.24250
      -4.70654       0.23780
      -4.61954       0.20980
      -4.53154       0.20670
      -4.44454       0.23180
      -4.35754       0.23270
      -4.27054       0.19810
      -4.18354       0.18160
      -4.09654       0.20940
      -4.00954       0.23310
      -3.92154       0.20960
      -3.83454       0.17410
      -3.74754       0.18300
      -3.66054       0.22140
      -3.57354       0.22570
      -3.48654       0.18560
      -3.39854       0.16100
      -3.31154       0.18920
      -3.22454       0.22660
      -3.13754       0.21460
      -3.05054       0.16940
      -2.96354       0.15760
      -2.87654       0.19660
      -2.78854       0.22850
      -2.70154       0.20590
      -2.61454       0.16310
      -2.52754       0.16420
      -2.44054       0.20780
      -2.35354       0.22930
      -2.26554       0.19860
      -2.17854       0.16570
      -2.09154       0.18270
      -2.00454       0.22430
      -1.91754       0.22940
      -1.83054       0.19930
      -1.74354       0.19230
      -1.65554       0.22470
      -1.56854       0.24890
      -1.48154       0.24280
      -1.39454       0.24480
      -1.30754       0.27680
      -1.22054       0.31720
      -1.13354       0.35970
      -1.04554       0.40840
      -0.95854       0.42470
      -0.87154       0.36160
      -0.78454       0.23590
      -0.69754       0.11390
      -0.61054       0.03977
      -0.52254       0.00989
      -0.43554       0.00173
      -0.34854       0.00021
      -0.26154       0.00002
      -0.17454       0.00000
      -0.08754       0.00000
      -0.00054       0.00000
       0.08746       0.00000
       0.17446       0.00000
       0.26146       0.00000
       0.34846       0.00000
       0.43546       0.00000
       0.52246       0.00000
       0.61046       0.00000
       0.69746       0.00000
       0.78446       0.00000
       0.87146       0.00000
       0.95846       0.00000
       1.04546       0.00000
       1.13246       0.00000
       1.22046       0.00000
       1.30746       0.00000
       1.39446       0.00000
       1.48146       0.00000
       1.56846       0.00000
       1.65546       0.00000
       1.74246       0.00000
       1.83046       0.00000
       1.91746       0.00000
       2.00446       0.00000
       2.09146       0.00000
       2.17846       0.00000
       2.26546       0.00000
       2.35346       0.00000
       2.44046       0.00000
       2.52746       0.00000
       2.61446       0.00000
       2.70146       0.00000
       2.78846       0.00000
       2.87546       0.00000
       2.96346       0.00000
       3.05046       0.00000
       3.13746       0.00000
       3.22446       0.00000
       3.31146       0.00000
       3.39846       0.00000
       3.48646       0.00000
       3.57346       0.00000
       3.66046       0.00000
       3.74746       0.00000
       3.83446       0.00000
       3.92146       0.00000
       4.00846       0.00000
       4.09646       0.00000
       4.18346       0.00000
       4.27046       0.00000
       4.35746       0.00000
       4.44446       0.00000
       4.53146       0.00000
       4.61846       0.00000
       4.70646       0.00000
       4.79346       0.00000
       4.88046       0.00002
       4.96746       0.00021
       5.05446       0.00173
       5.14146       0.00964
       5.22946       0.03770
       5.31646       0.10520
       5.40346       0.21780
       5.49046       0.36200
       5.57746       0.53640
       5.66446       0.75380
       5.75146       0.99320
       5.83946       1.22900
       5.92646       1.51900
       6.01346       1.91700
       6.10046       2.30000
       6.18746       2.44500
       6.27446       2.30900
       6.36246       2.06300
       6.44946       1.85200
       6.53646       1.67600
       6.62346       1.49100
       6.71046       1.31600
       6.79746       1.20400
       6.88446       1.18900
       6.97246       1.29600
       7.05946       1.51900
       7.14646       1.75500
       7.23346       1.86600
       7.32046       1.82700
       7.40746       1.69000
       7.49446       1.52900
       7.58246       1.44700
       7.66946       1.46700
       7.75646       1.44800
       7.84346       1.31400
       7.93046       1.19300
       8.01746       1.15100
       8.10546       1.09000
       8.19246       1.00400
       8.27946       1.02900
       8.36646       1.16600
       8.45346       1.21700
       8.54046       1.08100
       8.62746       0.92790
       8.71546       0.92990
       8.80246       0.98440
       8.88946       0.92620
       8.97646       0.84770
       9.06346       0.93520
       9.15046       1.11000
       9.23846       1.12700
       9.32546       0.96150
       9.41246       0.82300
       9.49946       0.81610
       9.58646       0.83140
       9.67346       0.75450
       9.76046       0.60920
       9.84846       0.49410
       9.93546       0.47350
      10.02246       0.55030
      10.10946       0.67660
      10.19646       0.78200
      10.28346       0.82630
      10.37146       0.81960
      10.45846       0.81100
      10.54546       0.83420
      10.63246       0.83300
      10.71946       0.73140
      10.80646       0.57020
      10.89346       0.45820
      10.98146       0.44340
      11.06846       0.49340
      11.15546       0.52580
      11.24246       0.48210
      11.32946       0.40150
      11.41646       0.35630
      11.50346       0.36830
      11.59146       0.42870
      11.67846       0.49430
      11.76546       0.49110
      11.85246       0.41520
      11.93946       0.34600
      12.02646       0.32960
      12.11446       0.36150
      12.20146       0.43210
      12.28846       0.48990
      12.37546       0.46280
      12.46246       0.37340
      12.54946       0.31220
      12.63646       0.30910
      12.72446       0.34510
      12.81146       0.41570
      12.89846       0.47970
      12.98546       0.45880
      13.07246       0.36240
      13.15946       0.28920
      13.24746       0.28390
      13.33446       0.31630
      13.42146       0.37640
      13.50846       0.45400
      13.59546       0.47510
      13.68246       0.39430
      13.76946       0.28900
      13.85746       0.25260
      13.94446       0.27850
      14.03146       0.32510
      14.11846       0.39490
      14.20546       0.46680
      14.29246       0.45890
      14.37946       0.35360
      14.46746       0.25120
      14.55446       0.23370
      14.64146       0.27710
      14.72846       0.33610
      14.81546       0.41120
      14.90246       0.47480
      14.99046       0.44460
      15.07746       0.30540
      15.16446       0.14790
      15.25146       0.04983
      15.33846       0.01163
      15.42546       0.00188
      15.51246       0.00021
      15.60046       0.00002
      15.68746       0.00000
      15.77446       0.00000
      15.86146       0.00000
      15.94846       0.00000
      16.03546       0.00000
      16.12346       0.00000
      16.21046       0.00000
      16.29746       0.00000
      16.38446       0.00000
      16.47146       0.00000
      16.55846       0.00000
      16.64546       0.00000
      16.73346       0.00000
      16.82046       0.00000
      16.90746       0.00000
