      #Energy        TDOS
     -11.30430       0.00000
     -11.21630       0.00000
     -11.12830       0.00000
     -11.04030       0.00000
     -10.95330       0.00000
     -10.86530       0.00000
     -10.77730       0.00000
     -10.68930       0.00000
     -10.60130       0.00000
     -10.51330       0.00000
     -10.42530       0.00000
     -10.33730       0.00000
     -10.24930       0.00000
     -10.16130       0.00000
     -10.07330       0.00000
      -9.98530       0.00000
      -9.89730       0.00002
      -9.80930       0.00022
      -9.72130       0.00203
      -9.63330       0.01302
      -9.54630       0.05843
      -9.45830       0.18500
      -9.37030       0.41850
      -9.28230       0.69100
      -9.19430       0.86220
      -9.10630       0.86190
      -9.01830       0.75170
      -8.93030       0.62880
      -8.84230       0.53710
      -8.75430       0.47580
      -8.66630       0.43350
      -8.57830       0.40230
      -8.49030       0.37780
      -8.40230       0.35610
      -8.31430       0.33800
      -8.22730       0.32510
      -8.13930       0.31080
      -8.05130       0.29850
      -7.96330       0.29320
      -7.87530       0.28160
      -7.78730       0.26680
      -7.69930       0.26650
      -7.61130       0.26440
      -7.52330       0.24430
      -7.43530       0.23490
      -7.34730       0.24710
      -7.25930       0.24260
      -7.17130       0.21320
      -7.08330       0.20530
      -6.99530       0.22960
      -6.90730       0.23470
      -6.82030       0.20150
      -6.73230       0.18210
      -6.64430       0.20780
      -6.55630       0.23160
      -6.46830       0.20500
      -6.38030       0.16020
      -6.29230       0.16160
      -6.20430       0.20620
      -6.11630       0.22580
      -6.02830       0.18600
      -5.94030       0.13630
      -5.85230       0.14130
      -5.76430       0.19430
      -5.67630       0.22460
      -5.58830       0.18930
      -5.50130       0.12940
      -5.41330       0.11610
      -5.32530       0.16480
      -5.23730       0.21770
      -5.14930       0.20940
      -5.06130       0.14640
      -4.97330       0.09753
      -4.88530       0.11360
      -4.79730       0.17810
      -4.70930       0.22200
      -4.62130       0.19500
      -4.53330       0.12410
      -4.44530       0.07899
      -4.35730       0.09988
      -4.26930       0.16850
      -4.18230       0.21990
      -4.09430       0.20040
      -4.00630       0.12890
      -3.91830       0.07177
      -3.83030       0.07461
      -3.74230       0.13530
      -3.65430       0.20480
      -3.56630       0.21770
      -3.47830       0.16010
      -3.39030       0.08601
      -3.30230       0.05316
      -3.21430       0.08201
      -3.12630       0.15480
      -3.03830       0.21560
      -2.95030       0.20780
      -2.86230       0.13840
      -2.77530       0.06767
      -2.68730       0.04175
      -2.59930       0.07245
      -2.51130       0.14550
      -2.42330       0.21160
      -2.33530       0.21240
      -2.24730       0.14690
      -2.15930       0.07185
      -2.07130       0.03451
      -1.98330       0.04817
      -1.89530       0.10900
      -1.80730       0.18700
      -1.71930       0.22200
      -1.63130       0.18140
      -1.54330       0.10240
      -1.45630       0.04281
      -1.36830       0.02722
      -1.28030       0.05783
      -1.19230       0.12840
      -1.10430       0.20190
      -1.01630       0.21870
      -0.92830       0.16300
      -0.84030       0.08390
      -0.75230       0.03234
      -0.66430       0.02182
      -0.57630       0.05196
      -0.48830       0.12060
      -0.40030       0.19660
      -0.31230       0.22060
      -0.22430       0.17020
      -0.13630       0.09043
      -0.04930       0.03408
       0.03870       0.01517
       0.12670       0.03019
       0.21470       0.08240
       0.30270       0.16160
       0.39070       0.21830
       0.47870       0.20280
       0.56670       0.12960
       0.65470       0.05718
       0.74270       0.01906
       0.83070       0.01385
       0.91870       0.03940
       1.00670       0.10110
       1.09470       0.18070
       1.18270       0.22200
       1.26970       0.18760
       1.35770       0.10900
       1.44570       0.04374
       1.53370       0.01348
       1.62170       0.01095
       1.70970       0.03456
       1.79770       0.09280
       1.88570       0.17270
       1.97370       0.22100
       2.06170       0.19460
       2.14970       0.11780
       2.23770       0.04910
       2.32570       0.01470
       2.41370       0.00727
       2.50170       0.02104
       2.58870       0.06510
       2.67670       0.14080
       2.76470       0.20940
       2.85270       0.21420
       2.94070       0.15070
       3.02870       0.07292
       3.11670       0.02438
       3.20470       0.00675
       3.29270       0.00824
       3.38070       0.03131
       3.46870       0.09419
       3.55670       0.21170
       3.64470       0.38260
       3.73270       0.61090
       3.82070       0.91850
       3.90870       1.32200
       3.99570       1.79700
       4.08370       2.21600
       4.17170       2.38800
       4.25970       2.26700
       4.34770       2.02200
       4.43570       1.82000
       4.52370       1.67400
       4.61170       1.52100
       4.69970       1.34600
       4.78770       1.19400
       4.87570       1.09900
       4.96370       1.06200
       5.05170       1.11300
       5.13970       1.30300
       5.22770       1.57900
       5.31470       1.81900
       5.40270       1.91800
       5.49070       1.81700
       5.57870       1.58600
       5.66670       1.39100
       5.75470       1.27900
       5.84270       1.18000
       5.93070       1.09600
       6.01870       1.08000
       6.10670       1.09500
       6.19470       1.09000
       6.28270       1.10900
       6.37070       1.16400
       6.45870       1.16000
       6.54670       1.05000
       6.63470       0.91620
       6.72170       0.85870
       6.80970       0.87570
       6.89770       0.87370
       6.98570       0.81200
       7.07370       0.78300
       7.16170       0.87170
       7.24970       0.99520
       7.33770       1.00500
       7.42570       0.90610
       7.51370       0.82550
       7.60170       0.81350
       7.68970       0.79250
       7.77770       0.71620
       7.86570       0.65480
       7.95370       0.66790
       8.04070       0.72520
       8.12870       0.78140
       8.21670       0.82400
       8.30470       0.85080
       8.39270       0.84080
       8.48070       0.77540
       8.56870       0.68950
       8.65670       0.61560
       8.74470       0.52500
       8.83270       0.42000
       8.92070       0.36460
       9.00870       0.38730
       9.09670       0.45850
       9.18470       0.51740
       9.27270       0.49530
       9.35970       0.40020
       9.44770       0.32890
       9.53570       0.34010
       9.62370       0.41080
       9.71170       0.49100
       9.79970       0.51310
       9.88770       0.43600
       9.97570       0.32570
      10.06370       0.28560
      10.15170       0.33230
      10.23970       0.41970
      10.32770       0.49840
      10.41570       0.50270
      10.50370       0.40440
      10.59170       0.28550
      10.67970       0.25030
      10.76670       0.30570
      10.85470       0.39920
      10.94270       0.48620
      11.03070       0.50800
      11.11870       0.42000
      11.20670       0.28350
      11.29470       0.21530
      11.38270       0.25180
      11.47070       0.34370
      11.55870       0.44310
      11.64670       0.50830
      11.73470       0.47660
      11.82270       0.34480
      11.91070       0.21590
      11.99870       0.18680
      12.08570       0.25290
      12.17370       0.35500
      12.26170       0.45420
      12.34970       0.51020
      12.43770       0.46180
      12.52570       0.31780
      12.61370       0.18670
      12.70170       0.15870
      12.78970       0.22640
      12.87770       0.33110
      12.96570       0.43420
      13.05370       0.50460
      13.14170       0.48060
      13.22970       0.34340
      13.31770       0.17490
      13.40570       0.06208
      13.49270       0.01521
      13.58070       0.00257
      13.66870       0.00030
      13.75670       0.00002
      13.84470       0.00000
      13.93270       0.00000
      14.02070       0.00000
      14.10870       0.00000
      14.19670       0.00000
      14.28470       0.00000
      14.37270       0.00000
      14.46070       0.00000
      14.54870       0.00000
      14.63670       0.00000
      14.72470       0.00000
      14.81170       0.00000
      14.89970       0.00000
      14.98770       0.00000
      15.07570       0.00000
